{'con1': 4, 'con2': 4, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [4, 8], 'RCAB2': [16, 12], 'decon5': [4, 4], 'RCAB3': [4, 4], 'decon6': [8, 8], 'RCAB4': [12, 8], 'decon7': [4, 4], 'decon8': [8, 8]}:epoch[200]:---flops: 64.808K---params: 0.000B---Psnr_score: 18.174839191792337---Ssim_score:0.6546028752149506---uiqm_va: 0.6896914299586601---uciqe_va:27.426513988977874
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [4, 4], 'RCAB2': [4, 16], 'decon5': [4, 8], 'RCAB3': [8, 12], 'decon6': [4, 8], 'RCAB4': [16, 8], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 64.040K---params: 0.000B---Psnr_score: 18.19338827593005---Ssim_score:0.6810725454741525---uiqm_va: 0.7081593779300817---uciqe_va:27.889592991591073
{'con1': 4, 'con2': 4, 'con3': 8, 'con4': 8, 'con5': 8, 'RCAB1': [8, 4], 'decon4': [8, 8], 'RCAB2': [12, 8], 'decon5': [8, 8], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [16, 12], 'decon7': [4, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 53.808K---params: 0.000B---Psnr_score: 18.253933741002147---Ssim_score:0.653596214744554---uiqm_va: 0.7371749672463349---uciqe_va:28.366303969118427
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [8, 8], 'RCAB2': [16, 8], 'decon5': [4, 4], 'RCAB3': [12, 16], 'decon6': [4, 4], 'RCAB4': [12, 12], 'decon7': [4, 8], 'decon8': [4, 8]}:epoch[200]:---flops: 45.348K---params: 0.000B---Psnr_score: 18.122404670869994---Ssim_score:0.6558566650420884---uiqm_va: 0.694489353680777---uciqe_va:27.970828648966414
{'con1': 4, 'con2': 8, 'con3': 8, 'con4': 4, 'con5': 4, 'RCAB1': [4, 8], 'decon4': [8, 4], 'RCAB2': [16, 8], 'decon5': [4, 8], 'RCAB3': [12, 4], 'decon6': [8, 8], 'RCAB4': [16, 8], 'decon7': [8, 8], 'decon8': [8, 4]}:epoch[200]:---flops: 84.268K---params: 0.000B---Psnr_score: 17.70756414161016---Ssim_score:0.6596203087329899---uiqm_va: 0.7295046284993619---uciqe_va:27.671582491604585
{'con1': 8, 'con2': 8, 'con3': 8, 'con4': 8, 'con5': 8, 'RCAB1': [4, 8], 'decon4': [4, 8], 'RCAB2': [4, 16], 'decon5': [4, 4], 'RCAB3': [16, 4], 'decon6': [4, 8], 'RCAB4': [12, 16], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 82.484K---params: 0.000B---Psnr_score: 18.01687839670812---Ssim_score:0.6639292040230711---uiqm_va: 0.6944758781603233---uciqe_va:27.83646755502872
{'con1': 8, 'con2': 8, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [4, 4], 'decon4': [8, 8], 'RCAB2': [12, 12], 'decon5': [4, 8], 'RCAB3': [12, 4], 'decon6': [4, 4], 'RCAB4': [16, 12], 'decon7': [8, 4], 'decon8': [4, 8]}:epoch[200]:---flops: 65.068K---params: 0.000B---Psnr_score: 17.66326096421041---Ssim_score:0.6610448871429924---uiqm_va: 0.7337117875356988---uciqe_va:28.23716677302112
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 8, 'con5': 4, 'RCAB1': [8, 8], 'decon4': [8, 4], 'RCAB2': [4, 12], 'decon5': [8, 4], 'RCAB3': [8, 12], 'decon6': [8, 4], 'RCAB4': [8, 16], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 44.320K---params: 0.000B---Psnr_score: 17.772214580620194---Ssim_score:0.6550421026174487---uiqm_va: 0.7179261823941817---uciqe_va:28.022082383091735
{'con1': 8, 'con2': 4, 'con3': 4, 'con4': 4, 'con5': 8, 'RCAB1': [8, 8], 'decon4': [4, 4], 'RCAB2': [4, 4], 'decon5': [8, 8], 'RCAB3': [8, 12], 'decon6': [4, 8], 'RCAB4': [4, 4], 'decon7': [8, 4], 'decon8': [8, 4]}:epoch[200]:---flops: 64.040K---params: 0.000B---Psnr_score: 17.720875239829354---Ssim_score:0.6541610155839465---uiqm_va: 0.6858770667366093---uciqe_va:27.661849145957955
{'con1': 4, 'con2': 4, 'con3': 4, 'con4': 8, 'con5': 8, 'RCAB1': [4, 8], 'decon4': [4, 8], 'RCAB2': [12, 4], 'decon5': [4, 4], 'RCAB3': [12, 8], 'decon6': [8, 4], 'RCAB4': [16, 4], 'decon7': [8, 8], 'decon8': [8, 8]}:epoch[200]:---flops: 45.608K---params: 0.000B---Psnr_score: 17.66928532679226---Ssim_score:0.6671808162808818---uiqm_va: 0.7099135153868112---uciqe_va:28.320114304955155
